scenario,n_families,baseline_accuracy,effect_size,replicates,trials,true_mean_effect,coverage_95,false_or_true_detection_rate,formal_equivalence_rate,point_within_margin_rate,indeterminate_rate,mean_estimated_delta,mean_ci_width_95,degenerate_ci_rate
sharp_null,6,0.05,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sharp_null,6,0.5,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sharp_null,6,0.95,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sharp_null,12,0.05,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sharp_null,12,0.5,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sharp_null,12,0.95,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sharp_null,20,0.05,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sharp_null,20,0.5,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sharp_null,20,0.95,0.2,3,100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
constant_effect,6,0.05,0.2,3,100,0.20000000000000004,0.84,0.61,0.03,0.12,0.27,0.19777777777777775,0.289236111111111,0.03
constant_effect,6,0.5,0.2,3,100,0.19999999999999996,0.91,0.59,0.02,0.06,0.35,0.20777777777777778,0.3143194444444444,0.02
constant_effect,6,0.95,0.2,3,100,0.050000000000000044,0.59,0.05,0.37,0.8,0.15,0.051111111111111114,0.12806944444444443,0.37
constant_effect,12,0.05,0.2,3,100,0.20000000000000004,0.94,0.95,0.0,0.02,0.03,0.195,0.23357638888888882,0.0
constant_effect,12,0.5,0.2,3,100,0.19999999999999996,0.9,0.94,0.0,0.05,0.02,0.215,0.2427291666666666,0.0
constant_effect,12,0.95,0.2,3,100,0.050000000000000044,0.76,0.13,0.53,0.91,0.0,0.04416666666666667,0.10127083333333334,0.22
constant_effect,20,0.05,0.2,3,100,0.2,0.93,1.0,0.0,0.03,0.0,0.193,0.1896458333333333,0.0
constant_effect,20,0.5,0.2,3,100,0.19999999999999996,0.97,1.0,0.0,0.02,0.0,0.1965,0.18782916666666666,0.0
constant_effect,20,0.95,0.2,3,100,0.050000000000000044,0.8,0.33,0.62,0.94,0.0,0.05233333333333334,0.1009375,0.03
mean_zero_heterogeneous,6,0.05,0.2,3,100,0.075,0.91,0.03,0.06,0.5,0.47,0.08,0.30505555555555547,0.06
mean_zero_heterogeneous,6,0.5,0.2,3,100,-2.7755575615628914e-17,0.86,0.02,0.03,0.57,0.41,0.008888888888888892,0.43191666666666656,0.03
mean_zero_heterogeneous,6,0.95,0.2,3,100,-0.07499999999999996,0.92,0.04,0.03,0.47,0.49,-0.08222222222222224,0.3042916666666666,0.03
mean_zero_heterogeneous,12,0.05,0.2,3,100,0.075,0.95,0.17,0.07,0.64,0.19,0.08138888888888887,0.22882638888888882,0.0
mean_zero_heterogeneous,12,0.5,0.2,3,100,-2.7755575615628914e-17,0.97,0.01,0.03,0.88,0.11,0.002222222222222226,0.3158263888888888,0.0
mean_zero_heterogeneous,12,0.95,0.2,3,100,-0.07499999999999996,0.95,0.19,0.09,0.66,0.15,-0.07833333333333334,0.23266666666666663,0.03
mean_zero_heterogeneous,20,0.05,0.2,3,100,0.075,0.98,0.3,0.11,0.83,0.03,0.07616666666666666,0.1862958333333333,0.0
mean_zero_heterogeneous,20,0.5,0.2,3,100,-2.7755575615628914e-17,0.99,0.01,0.12,0.98,0.01,0.005166666666666673,0.26245833333333324,0.0
mean_zero_heterogeneous,20,0.95,0.2,3,100,-0.07499999999999996,0.96,0.36,0.1,0.76,0.03,-0.08283333333333336,0.19024999999999997,0.0
